2025-08-03 00:00:48,323 | INFO | 检查系统依赖...
2025-08-03 00:00:49,452 | INFO | ✅ 核心依赖检查通过
2025-08-03 00:00:49,452 | INFO | 清理机器学习模型...
2025-08-03 00:00:49,452 | INFO | ✅ 模型目录准备完成
2025-08-03 00:00:49,452 | INFO | 准备运行环境...
2025-08-03 00:00:49,452 | INFO | ✅ 环境变量配置完成
2025-08-03 00:00:49,452 | INFO | 测试基础功能...
2025-08-03 00:00:49,897 | INFO | ✅ 数据获取器初始化成功
2025-08-03 00:00:49,897 | INFO | ✅ 数据处理器初始化成功
2025-08-03 00:00:50,019 | INFO | ✅ 股票分析器初始化成功
2025-08-03 00:00:50,019 | INFO | 启动Streamlit应用...
2025-08-03 00:00:50,019 | INFO | 执行命令: /usr/bin/python -m streamlit run src/ui/streamlit_app.py --server.port 8501 --server.address 0.0.0.0 --server.headless true --browser.gatherUsageStats false --browser.serverAddress localhost --global.developmentMode false
2025-08-03 00:00:50,019 | INFO | Streamlit应用已启动
2025-08-03 00:00:50,019 | INFO | 访问地址: http://localhost:8501
2025-08-03 00:00:53,019 | INFO | ✅ 应用运行正常
2025-08-03 00:02:41,737 | INFO | 检查系统依赖...
2025-08-03 00:02:42,421 | INFO | ✅ 核心依赖检查通过
2025-08-03 00:02:42,421 | INFO | 清理机器学习模型...
2025-08-03 00:02:42,422 | INFO | ✅ 已清理旧模型
2025-08-03 00:02:42,422 | INFO | ✅ 模型目录准备完成
2025-08-03 00:02:42,422 | INFO | 准备运行环境...
2025-08-03 00:02:42,422 | INFO | ✅ 环境变量配置完成
2025-08-03 00:02:42,422 | INFO | 测试基础功能...
2025-08-03 00:02:42,683 | INFO | ✅ 数据获取器初始化成功
2025-08-03 00:02:42,683 | INFO | ✅ 数据处理器初始化成功
2025-08-03 00:02:42,751 | INFO | ✅ 股票分析器初始化成功
2025-08-03 00:02:42,751 | INFO | 启动Streamlit应用...
2025-08-03 00:02:42,751 | INFO | 执行命令: /usr/bin/python -m streamlit run src/ui/streamlit_app.py --server.port 8501 --server.address 0.0.0.0 --server.headless true --browser.gatherUsageStats false --browser.serverAddress localhost --global.developmentMode false
2025-08-03 00:02:42,752 | INFO | Streamlit应用已启动
2025-08-03 00:02:42,752 | INFO | 访问地址: http://localhost:8501
2025-08-03 00:02:45,752 | INFO | ✅ 应用运行正常
2025-08-03 00:17:57,258 | INFO | 检查系统依赖...
2025-08-03 00:17:58,317 | INFO | ✅ 核心依赖检查通过
2025-08-03 00:17:58,317 | INFO | 清理机器学习模型...
2025-08-03 00:17:58,318 | INFO | ✅ 已清理旧模型
2025-08-03 00:17:58,318 | INFO | ✅ 模型目录准备完成
2025-08-03 00:17:58,318 | INFO | 准备运行环境...
2025-08-03 00:17:58,318 | INFO | ✅ 环境变量配置完成
2025-08-03 00:17:58,318 | INFO | 测试基础功能...
2025-08-03 00:17:58,765 | INFO | ✅ 数据获取器初始化成功
2025-08-03 00:17:58,765 | INFO | ✅ 数据处理器初始化成功
2025-08-03 00:17:58,770 | ERROR | ❌ 功能测试失败: expected 'except' or 'finally' block (stock_analyzer.py, line 823)
2025-08-03 00:17:58,770 | ERROR | ❌ 功能测试失败
2025-08-03 00:18:56,644 | INFO | 检查系统依赖...
2025-08-03 00:18:57,868 | INFO | ✅ 核心依赖检查通过
2025-08-03 00:18:57,869 | INFO | 清理机器学习模型...
2025-08-03 00:18:57,869 | INFO | ✅ 已清理旧模型
2025-08-03 00:18:57,870 | INFO | ✅ 模型目录准备完成
2025-08-03 00:18:57,870 | INFO | 准备运行环境...
2025-08-03 00:18:57,870 | INFO | ✅ 环境变量配置完成
2025-08-03 00:18:57,870 | INFO | 测试基础功能...
2025-08-03 00:18:58,358 | INFO | ✅ 数据获取器初始化成功
2025-08-03 00:18:58,358 | INFO | ✅ 数据处理器初始化成功
2025-08-03 00:18:58,482 | INFO | ✅ 股票分析器初始化成功
2025-08-03 00:18:58,482 | INFO | 启动Streamlit应用...
2025-08-03 00:18:58,482 | INFO | 执行命令: /usr/bin/python -m streamlit run src/ui/streamlit_app.py --server.port 8501 --server.address 0.0.0.0 --server.headless true --browser.gatherUsageStats false --browser.serverAddress localhost --global.developmentMode false
2025-08-03 00:18:58,482 | INFO | Streamlit应用已启动
2025-08-03 00:18:58,482 | INFO | 访问地址: http://localhost:8501
2025-08-03 00:19:01,482 | INFO | ✅ 应用运行正常
2025-08-03 00:27:59,977 | INFO | 检查系统依赖...
2025-08-03 00:28:00,774 | INFO | ✅ 核心依赖检查通过
2025-08-03 00:28:00,774 | INFO | 清理机器学习模型...
2025-08-03 00:28:00,775 | INFO | ✅ 已清理旧模型
2025-08-03 00:28:00,775 | INFO | ✅ 模型目录准备完成
2025-08-03 00:28:00,775 | INFO | 准备运行环境...
2025-08-03 00:28:00,775 | INFO | ✅ 环境变量配置完成
2025-08-03 00:28:00,775 | INFO | 测试基础功能...
2025-08-03 00:28:01,021 | INFO | ✅ 数据获取器初始化成功
2025-08-03 00:28:01,021 | INFO | ✅ 数据处理器初始化成功
2025-08-03 00:28:01,087 | INFO | ✅ 股票分析器初始化成功
2025-08-03 00:28:01,088 | INFO | 启动Streamlit应用...
2025-08-03 00:28:01,088 | INFO | 执行命令: /usr/bin/python -m streamlit run src/ui/streamlit_app.py --server.port 8501 --server.address 0.0.0.0 --server.headless true --browser.gatherUsageStats false --browser.serverAddress localhost --global.developmentMode false
2025-08-03 00:28:01,088 | INFO | Streamlit应用已启动
2025-08-03 00:28:01,088 | INFO | 访问地址: http://localhost:8501
2025-08-03 00:28:04,088 | INFO | ✅ 应用运行正常
2025-08-03 00:41:42,885 | INFO | 检查系统依赖...
2025-08-03 00:41:44,138 | INFO | ✅ 核心依赖检查通过
2025-08-03 00:41:44,139 | INFO | 清理机器学习模型...
2025-08-03 00:41:44,139 | INFO | ✅ 已清理旧模型
2025-08-03 00:41:44,141 | INFO | ✅ 模型目录准备完成
2025-08-03 00:41:44,141 | INFO | 准备运行环境...
2025-08-03 00:41:44,141 | INFO | ✅ 环境变量配置完成
2025-08-03 00:41:44,141 | INFO | 测试基础功能...
2025-08-03 00:41:44,667 | INFO | ✅ 数据获取器初始化成功
2025-08-03 00:41:44,667 | INFO | ✅ 数据处理器初始化成功
2025-08-03 00:41:44,783 | INFO | ✅ 股票分析器初始化成功
2025-08-03 00:41:44,783 | INFO | 启动Streamlit应用...
2025-08-03 00:41:44,783 | INFO | 执行命令: /usr/bin/python -m streamlit run src/ui/streamlit_app.py --server.port 8501 --server.address 0.0.0.0 --server.headless true --browser.gatherUsageStats false --browser.serverAddress localhost --global.developmentMode false
2025-08-03 00:41:44,784 | INFO | Streamlit应用已启动
2025-08-03 00:41:44,784 | INFO | 访问地址: http://localhost:8501
2025-08-03 00:41:47,784 | INFO | ✅ 应用运行正常
